vocabulary;variant_of;meaning;language;about_ethnicity;about_nationality;about_religion;about_gender;about_sexual_orientation;about_disability;about_class;archaic
Hunkie;Hunky;"[1] A Hungarian. [2] A person of central or east European birth or descent.";eng;1;1;0;0;0;0;0;0
Hunky;;"[1] A Hungarian. [2] A person of central or east European birth or descent.";eng;1;1;0;0;0;0;0;0
Hunni;;"Literally Hun. Derogatory, containing allusions to Lapland War and sack of Lapland. Rarely used, today rather influenced by the English usage.";fin;0;1;0;0;0;0;0;1
Hunyak;;"A Hungarian-Polish person.";eng;0;1;0;0;0;0;0;0
Hunyock;Hunyak;"A Hungarian-Polish person.";eng;0;1;0;0;0;0;0;0
Hure;;"a female prostitute";deu;0;0;0;1;0;0;0;0
Hurensohn;;"son of a female prostitute";deu;0;0;0;0;0;0;1;0
hymie;;"A Jewish person, derived from the personal name Hyman (from the Hebrew name Chayyim). Jesse Jackson provoked controversy by referring to New York City as 'Hymietown' in 1984.";eng;1;0;1;0;0;0;0;0
"ice monkey";;"A Finn.";eng;0;1;0;0;0;0;0;0
"ice nigger";;"A black Canadian.";eng;1;1;0;0;0;0;0;0
idiot;;"A mentally retarded person.";eng;0;0;0;0;0;1;0;0
ike;ikey;"A Jewish person (from Isaac and Moses).";eng;1;0;0;0;0;0;0;0
ikey;;"A Jewish person (from Isaac and Moses).";eng;1;0;0;0;0;0;0;0
"ikey mo";ikey;"A Jewish person (from Isaac and Moses).";eng;1;0;0;0;0;0;0;0
ikizungu;umuzungu;"An English person.";kin;1;0;0;0;0;0;0;0
iky;ikey;"A Jewish person (from Isaac and Moses).";eng;1;0;0;0;0;0;0;0
imeet;;"Maasai slur for a member of the Kikuyu community, meaning 'thief'.";mas;1;0;0;0;0;0;0;0
impedido;;Disabled;spa;0;0;0;0;0;1;0;0
incapaz;;Disabled;spa;0;0;0;0;0;1;0;0
india;indio;"A word used in Mexico to denote a person of dark brown or black hair and of browner skin tones and/or Amerindian or Afro-Mexican origin";spa;1;0;0;0;0;0;0;0
indio;;"A word used in Mexico to denote a person of dark brown or black hair and of browner skin tones and/or Amerindian or Afro-Mexican origin";spa;1;0;0;0;0;0;0;0
"indio ladino";indio;"A word used in Mexico to denote a person of dark brown or black hair and of browner skin tones and/or Amerindian or Afro-Mexican origin";spa;1;0;0;0;0;0;0;0
Indon;;"Term used in Malaysia and Singapore to denote an Indonesian, with possible connotations of illegal and/or migrant labor";msa;0;1;0;0;0;0;0;0
injun;;"A Native American, from 'Indian'.";eng;1;0;0;0;0;0;0;0
Inselaffen;;"A British person, meaning 'island ape' or 'island monkey'.";deu;0;1;0;0;0;0;0;0
intsik;;"Filipino slur for a Chinese person";tgl;1;1;0;0;0;0;0;0
invalidos;;Disabled;;0;0;0;0;0;1;0;0
inyenzi;;"In Rwanda in the 1990s, a Hutu slur for a Tutsi, from ""cockroach"".";kin;1;0;0;0;0;0;0;1
"island nigger";;"A Polynesian.";eng;1;1;0;0;0;0;0;0
"ita koh";;"An Italian.";jpn;0;1;0;0;0;0;0;0
jabonee;;"An unassimilated or first-generation Italian, as identified by an American-born Italian.";ita;1;1;0;0;0;0;0;0
jant;;"In Ireland, a disreputable, working class or delinquent person";eng;0;0;0;0;0;0;1;0
Jap;;"[1] A Japanese soldier or national, or anyone of Japanese descent. [2] Acronym for 'Jewish-American Princess.'";eng;1;1;0;0;0;0;0;0
Japana;;"Person of Japanese descent.";sin;0;1;0;0;0;0;0;0
japie;;"Derogatory term for a Caucasian South African, possibly derived from the Dutch term 'plaasjapie' meaning a farm-boy";eng;1;1;0;0;0;0;0;0
Japse;;"a person from Japan";deu;0;1;0;0;0;0;0;0
jareer;;"Ethnic slur for Bantu Africans, from Somali for ""hard,"" denoting stiffness of hair";som;1;0;0;0;0;0;0;0
jathi;;"Embu slur for a member of the Luo ethnic group, meaning 'uncircumcised'.";ebu;1;0;0;0;0;0;0;0
Jerry;;"A German, especially a German soldier (probably an alteration of German). Origin of Jerry can.";eng;0;1;0;0;0;0;0;0
Jewbacca;;"A hairy person of Jewish ancestry, from the Star Wars character, Chewbacca.";eng;1;0;0;0;0;0;0;0
jhant;jant;"In Ireland, a disreputable, working class or delinquent person";eng;0;0;0;0;0;0;1;0
jibaro;;"In Puerto Rico, can refer to a rural or uneducated person";spa;0;0;0;0;0;0;1;0
jig;jigaboo;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
jigaboo;;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
jigarooni;jigaboo;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
jigg;jigaboo;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
jigga;jigaboo;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
jiggabo;jigaboo;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
jiggaboo;jigaboo;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
jigger;jigaboo;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
Jihadi;;"A Muslim.";eng;1;0;1;0;0;0;0;0
jijjiboo;jigaboo;"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.";eng;1;0;0;0;0;0;0;0
"Jim Fish";;"A black person.";eng;1;0;0;0;0;0;0;0
jincho;;"A Caucasian";spa;1;0;0;0;0;0;0;0
"Jincho papujo";jincho;"A Caucasian";spa;1;0;0;0;0;0;0;0
jock;;"A Scottish person. Scots language nickname for the personal name John, cognate to the English, Jack. Occasionally used by the English as an insult. but also in respectful reference to elite Scottish, particularly Highland troops, e.g. the 9th (Scottish) Division. Same vein as the English insult for the French, as Frogs.";eng;0;0;0;0;0;0;0;0
jockie;jock;"A Scottish person. Scots language nickname for the personal name John, cognate to the English, Jack. Occasionally used by the English as an insult. but also in respectful reference to elite Scottish, particularly Highland troops, e.g. the 9th (Scottish) Division. Same vein as the English insult for the French, as Frogs.";eng;0;0;0;0;0;0;0;0
jocky;jock;"A Scottish person. Scots language nickname for the personal name John, cognate to the English, Jack. Occasionally used by the English as an insult. but also in respectful reference to elite Scottish, particularly Highland troops, e.g. the 9th (Scottish) Division. Same vein as the English insult for the French, as Frogs.";eng;0;0;0;0;0;0;0;0
jokuoye;;"Luo slur for a member of the Kikuyu community, meaning 'thief'.";luo;1;0;0;0;0;0;0;0
judas;;"Jew; derogatory by association with Judas Iscariot; used in Mexico, other Spanish-speaking countries";spa;1;1;1;0;0;0;1;0
Judensau;;"German slur for ""Jewish sow"" or ""Jewish pig""";deu;1;0;0;0;0;0;0;1
Judenschwein;Judensau;"German slur for ""Jewish sow"" or ""Jewish pig""";deu;1;0;0;0;0;0;0;1
"jungle bunny";;"A black person.";eng;1;0;0;0;0;0;0;0
"Junior Mint";;"A black person with Caucasian mannerisms, as in a Junior Mint which is white on inside and black on outside.";eng;1;0;0;0;0;0;0;0
kaaskop;;"A Dutch person. Translates as 'cheese-head'.";nld;0;1;0;0;0;0;0;0
kabisi;;"Embu slur for a member of the Luo ethnic group, meaning 'uncircumcised'.";ebu;1;0;0;0;0;0;0;0
kabloonuk;;"Inuit word for any non-Inuit. Literal translation means person with bushy eyebrows.";ale;1;0;0;0;0;0;0;0
kaeriya;;"Derogatory word for a man of a different ethnicity";tam;1;0;0;0;1;0;0;0
kaffer;kaffir;"[1] A black person (South Africa) [2] A non-Muslim of any ethnicity. Derived from Arabic Kafir - disbeliever or infidel.";ara;1;1;1;0;0;0;0;0
kaffir;;"[1] A black person (South Africa) [2] A non-Muslim of any ethnicity. Derived from Arabic Kafir - disbeliever or infidel.";ara;1;1;1;0;0;0;0;0
kaffre;kaffir;"[1] A black person (South Africa) [2] A non-Muslim of any ethnicity. Derived from Arabic Kafir - disbeliever or infidel.";ara;1;1;1;0;0;0;0;0
kafir;kaffir;"[1] A black person (South Africa) [2] A non-Muslim of any ethnicity. Derived from Arabic Kafir - disbeliever or infidel.";ara;1;1;1;0;0;0;0;0
kafiri;;"[1] Uncircumcised. [2] Pagan.";swa;1;0;1;0;0;0;0;0
kala;;"Any person of South, Central and West Asian origin, especially referring to South Asian Muslims.";mya;1;1;1;0;0;0;0;0
kalar;kala;"Any person of South, Central and West Asian origin, especially referring to South Asian Muslims.";mya;1;1;1;0;0;0;0;0
kalla;;"A person with dark skin. Can refer to a person with African origin. This terms is also used by Sri Lankan diaspora living in USA to refer to an African American.";sin;1;0;0;0;0;0;0;0
kallathoni;;"An illegal immigrant or non-citizen, especially from India.";sin;1;1;0;0;0;0;0;0
kallathonni;;"Illegal boat person (Indian)";tam;1;1;0;0;0;0;1;0
kalmuk;;"A person from the asian part of the former Soviet Union";pol;1;0;0;0;0;0;1;1
kalmuki;kalmuk;"A person from the asian part of the former Soviet Union";pol;1;0;0;0;0;0;1;1
kamelenneuker;;"Arab, Muslim, especially Moroccan. Literally 'camel-fucker'.";nld;1;0;1;0;0;0;0;0
Kanacke;;"Derogative word for immigrants, particularly Turkish people";deu;1;1;0;0;0;0;0;0
Kanaker;Kanacke;"Derogative word for immigrants, particularly Turkish people";deu;1;1;0;0;0;0;0;0
kansarme;;"Immigrants, literally 'chance-poor', the noun is used in the plural. Originally an official euphemism for poor / deprived.";nld;1;0;0;0;0;0;0;0
karaiyar;;"Fish killing caste person (derogatory)";tam;0;0;0;0;0;0;1;0
katol;;catholic;pol;0;0;1;0;0;0;0;0
Katzenfresser;;"German slur for an Italian person, which translates as 'cat-eater'.";deu;1;1;0;0;0;0;0;0
keling;;"A person originating from the Indian subcontinent, used by native Malaysians and Indonesians.";msa;1;1;0;0;0;0;0;0
khazar;;"A Jewish person, from the conversion of the Khazar Empire to Judaism";eng;1;0;1;0;0;0;0;0
kihii;;"Kikuyu slur for a member of the Luo ethnic group, meaning 'uncircumcised'.";kik;1;0;0;0;0;0;0;0
kiingereza;;"An English person.";swa;1;0;0;0;0;0;0;0
kijuju;;"Derogatory word for Rwandans, from a local plant considered useless or treacherous";run;1;1;0;0;0;0;0;0
kike;;"An Ashkenazi Jew. From kikel, Yiddish for 'circle'. Illiterate immigrant Jews signed legal documents with an 'O' (similar to an 'X').";eng;1;0;0;0;0;0;0;0
Kinderficker;;"a male pedophile";deu;0;0;0;0;1;0;0;0
Kizungu;mzungu;"Literally means ""foreigner"" but predominantly used in Swahili-speaking countries (particularly Kenya and Tanzania) to refer to white people. Very common since white people are still a curiosity in many parts of these countries and usually not intended to be offensive but sometimes used in a pejorative manner. Similar usage to ""faranji"" in Amharic.";swa;1;0;0;0;0;0;0;0
Klandestin;;"Derogatory term for illegal imigrant";mlt;1;1;0;0;0;0;1;0
knacker;;"An Irish Traveller.";eng;1;1;0;0;0;0;0;0
kochchiya;;"A person of Indian descent.";sin;0;1;0;0;0;0;0;0
kokujin;;"Japanese term for a black person.";jpn;1;0;0;0;0;0;0;0
komunjara;;"[1] Communist, [2] Atheist or non believer";bos;0;0;1;0;0;0;1;0
kopvoddrager;;"Moslima with headscarf, literally 'head-rag-wearer'.";nld;0;0;1;1;0;0;0;0
kotiya;tiger;"A Tamil.";eng;1;0;0;0;0;0;0;0
kraut;;"A German, most specifically during World War II. From Sauerkraut.";eng;0;1;0;0;0;0;0;1
Krueppel;;cripple;deu;0;0;0;0;0;1;0;0
kuffar;kaffir;"[1] A black person (South Africa) [2] A non-Muslim of any ethnicity. Derived from Arabic Kafir - disbeliever or infidel.";ara;1;1;1;0;0;0;0;0
kurombo;;"Japanese term for a black male, from 'kuro' (black color) and 'bo' (young man).";jpn;1;0;0;0;0;0;0;0
kurwa;;"[1] prostitute [2] whore; slut; bitch.";pol;0;0;0;1;0;0;0;0
Kushi;Cushite;"[1] A person of east African descent, from Cush (modern day Ethiopia or Sudan). [2] Any black African.";eng;1;0;0;0;0;0;0;0
Kushite;Cushite;"[1] A person of east African descent, from Cush (modern day Ethiopia or Sudan). [2] Any black African.";eng;1;0;0;0;0;0;0;0
kut-marokkaan;;"Moroccan, literally ""cunt--Moroccan"".";nld;1;0;0;0;0;0;0;0
kutmarokkaan;kut-marokkaan;"Moroccan, literally ""cunt--Moroccan"".";nld;1;0;0;0;0;0;0;0
"kwai lo";gweilo;"Pejorative term used in south of Mainland China and Hong Kong to denote a white man. Loosely translated as 'foreign devil;' more literally, might be 'ghost dude/bloke/guy/etc.' Gwei means 'ghost.' The color white is associated with ghosts in China. A lo is a regular guy (i.e. a fellow, a chap, or a bloke). Once a mark of xenophobia, the word is now in general, informal use but still considered derogatory.";zho;1;0;0;0;0;0;0;0
kwerekwere;;"A foreigner, usually intended without offence";afr;1;1;0;0;0;0;0;0
"kweri kweri";kwerekwere;"A foreigner, usually intended without offence";afr;1;1;0;0;0;0;0;0
"kwiri kwiri";kwerekwere;"A foreigner, usually intended without offence";afr;1;1;0;0;0;0;0;0
kyke;kike;"An Ashkenazi Jew. From kikel, Yiddish for 'circle'. Illiterate immigrant Jews signed legal documents with an 'O' (similar to an 'X').";eng;1;0;0;0;0;0;0;0
labu;;"A Latvian person, used by Russian immigrants in Latvia";;0;1;0;0;0;0;0;0
lagartona;;prostitute;spa;0;0;0;1;0;0;0;0
laikci;;"Insulting word for secular people in Turkey.";tur;0;1;1;0;0;0;1;0
lamemurata;;"Samburu slur for a member of the Luo ethnic group, meaning 'uncircumcised'.";saq;1;0;0;0;0;0;0;0
Landya;;"A Muslim.";;0;0;1;0;0;0;0;0
langsiya;lansiya;"Used by the Sinhala majority to refer to a Burgher person of Dutch origin, living in Sri Lanka.";sin;1;1;0;0;0;0;0;0
lansiya;;"Used by the Sinhala majority to refer to a Burgher person of Dutch origin, living in Sri Lanka.";sin;1;1;0;0;0;0;0;0
laowai;;Foreigner;cmn;1;1;0;0;0;0;0;0
Latin;;"Derogatory term for Croatian of Catholic christian faith";bos;1;1;1;0;0;0;0;1
latrino;;"A person of Latino descent, from 'latrine'.";eng;1;0;0;0;0;0;0;0
"lawn jockey";;"A black person, from the traditional statue.";eng;1;0;0;0;0;0;0;0
Leb;;"A person of Lebanese descent.";eng;0;1;0;0;0;0;0;0
Lebbo;Leb;"A person of Lebanese descent.";eng;0;1;0;0;0;0;0;0
lefty;;"An Arab, from the practice in certain Middle Eastern countries of chopping off a criminal's hand.";eng;1;0;0;0;0;0;0;0
lemonhead;;"An Asian person.";eng;1;0;0;0;0;0;0;0
leprechaun;;"A person of Irish descent.";eng;0;1;0;0;0;0;0;0
lesbo;;Lesbian;nld;0;0;0;0;1;0;0;0
levis;;lesbian;spa;0;0;0;0;1;0;0;0
limey;;"A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.";eng;0;1;0;0;0;0;0;0
"ling ling";;"Broad derogatory term for someone of Asian appearance/descent.";eng;1;0;0;0;0;0;0;0
lofan;;"In China, a word meaning Caucasian or American.";zho;1;1;0;0;0;0;0;0
longuu;;"Samburu slur for members of the Turkana ethnic community, from 'smelly' or 'unclean'.";saq;1;0;0;0;0;0;0;0
longuulkitkit;;"Maasai slur for members of the Kamba ethnic community, from 'smelly armpits'.";mas;1;0;0;0;0;0;0;0
lowlander;;"A person in the Netherlands, which is 20% below sea level.";eng;0;1;0;0;0;0;0;0
lubra;;"An Australian Aboriginal woman.";eng;0;0;0;0;0;0;0;0
lugan;;"A Lithuanian, particularly a Lithuanian American.";eng;0;1;0;0;0;0;0;0
Lugenpresse;;"View of radically right wings about a from the government regulated press.";deu;0;0;0;0;0;0;0;0
lungereza;;"An English person.";lug;1;0;0;0;0;0;0;0
macaca;;"Originally used by francophone colonialists in Central Africa's Belgian Congo to refer to the native population; use has expanded to other groups, including North Africans and Indians.";fra;1;0;0;0;0;0;0;0
Macaco;;"Usada para se referir a pessoas afro-descendentes";por;1;0;0;0;0;0;0;0
macaroni;;"A person of Italian descent.";ita;0;1;0;0;0;0;0;0
Macedonist;;"A derogatory term used by Bulgarians to identify Macedonians";bul;0;1;0;0;0;0;0;0
macengi;;"Akamba slur for members of the Mbeere ethnic community, from a dangerous small animal that destroys crops.";kam;1;0;0;0;0;0;0;0
mack;mick;"[1] An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix 'Mc'/'Mac' meaning 'son of' that is commonly found in Irish surnames. [2] In Australia, used to denote a Roman Catholic [19th century on, from Micheal].";eng;1;1;0;0;0;0;0;0
"mackerel snapper ";;"A Roman Catholic. The term originated in the U.S. in the 1850s and refers to the custom of Friday abstinence.";eng;0;0;1;0;0;0;0;0
maekka;;"Person of Mexican or Hispanic descent. This term is used by Sri Lankan diaspora living in USA.";sin;1;1;0;0;0;0;0;0
maessa;maekka;"Person of Mexican or Hispanic descent. This term is used by Sri Lankan diaspora living in USA.";sin;1;1;0;0;0;0;0;0
Makaronifresser;;"German term for a person of Italian descent, from 'macaroni-eater'.";deu;0;1;0;0;0;0;0;0
malaun;;"Hindu, commonly used in Bangladesh.";ben;1;0;1;0;0;0;0;0
"maldito Bori";;"Spanish for 'goddamned Puerto Ricans'";spa;1;1;0;0;0;0;0;0
malingsia;;"[1] A slang term used in Indonesia to refer to Malaysian people. Literally means ""thief"".";jav;1;1;0;0;0;0;0;0
mameluco;mestico;"[1] In Brazil, a person of mixed indigenous and European parentage. [2] In Africa and Asia, any person of mixed parentage.";por;1;0;0;0;0;0;0;1
mandilon;;"An emasculated male, or a male subjugated to a female";spa;0;0;0;1;0;0;0;0
"mangia cake";;"A derogatory term used by Italians to disdainfully describe those of Anglo-Saxon descent (from Italian, literally 'cake eater'). One suggestion is that this term originated from the perception of Italian immigrants that Canadian bread is sweet as cake in comparison to the rustic bread eaten by Italians.";eng;1;0;0;0;0;0;0;0
mangiacrauti;;"A person of German descent, from 'cabbage eater'.";ita;0;1;0;0;0;0;0;0
mangiapatate;;"A person of German descent, from 'potato eater'.";ita;0;1;0;0;0;0;0;0
mansplaining;;"The idea that men, by reason of their sex, cannot have a relevant opinion when it comes to women.";eng;0;0;0;1;0;0;0;0
maricon;;Homosexual;spa;0;0;0;0;1;0;0;0
marrano;;"A Jewish convert to Christianity, usually for social and not spiritual reasons; derives from the Inquisition; today, can refer to a Jew who marries a Catholic. Marrano is also a Spanish slang term for 'dirty pig' or swine.";spa;1;0;1;0;0;0;0;0
marron;;"[1] In Latin America, a person of perceived Amerindian or African slave descent. Peruvian president Alejandro Toledo was nicknamed 'el Cholo'. [2] In the USA or Brazil, a person of perceived Mestizo descent, especially a teenager or young person in the lowrider subculture. It may be derogatory depending on circumstances.";spa;1;0;0;0;0;0;0;0
mattaya;;"Used by the Sinhala/Tamil majority to refer to a person of Muslim origin hailing from East of the island (Ampara, Pothuvil, Madakalapuwa area).";sin;0;0;1;0;0;0;0;0
mayate;;"Latino word for a black person.";spa;1;0;0;0;0;0;0;0
medelander;;"Immigrant, especially Moroccan. Cynical usage, literally 'co-inhabitant', originally official euphemism for foreigner.";;1;1;0;0;0;0;0;0
"meiguo guizi";guizi;"Pejorative term used in Mainland China and Taiwan to denote foreigners, especially millitary enemies, such as riben guizi (Japanese devils, because of Second Sino-Japanese War) and meiguo guizi (American devils, because of Korean War).";zho;1;0;0;0;0;0;0;0
melanzana;;"Italian word for a black person, from 'eggplant'.";ita;1;0;0;0;0;0;0;0
melon;;"French-born offspring of North African parents";fra;1;1;0;0;0;0;0;0
Merkin;;"Similar to 'American.'";eng;0;1;0;0;0;0;0;0
mestico;;"[1] In Brazil, a person of mixed indigenous and European parentage. [2] In Africa and Asia, any person of mixed parentage.";por;1;0;0;0;0;0;0;1
mestizo;;"Born of a Spanish parent and a Native American parent, from the Spanish word for 'mixed'.";spa;1;0;0;0;0;0;0;0
"mezza fanook";fanook;"Italian term for one who is homosexual, or seems homosexual.";ita;0;0;0;0;1;0;0;0
mick;;"[1] An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix 'Mc'/'Mac' meaning 'son of' that is commonly found in Irish surnames. [2] In Australia, used to denote a Roman Catholic [19th century on, from Micheal].";eng;1;1;0;0;0;0;0;0
mickey;mick;"[1] An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix 'Mc'/'Mac' meaning 'son of' that is commonly found in Irish surnames. [2] In Australia, used to denote a Roman Catholic [19th century on, from Micheal].";eng;1;1;0;0;0;0;0;0
"Mickey Finn";mick;"[1] An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix 'Mc'/'Mac' meaning 'son of' that is commonly found in Irish surnames. [2] In Australia, used to denote a Roman Catholic [19th century on, from Micheal].";eng;1;1;0;0;0;0;0;0
"mil bag";spide;"In Northern Ireland, a spide is a young working class male. A female is known as a millie.";eng;0;0;0;0;0;0;1;0
millie;spide;"In Northern Ireland, a spide is a young working class male. A female is known as a millie.";eng;0;0;0;0;0;0;1;0
minusvalido;;Disabled;spa;0;0;0;0;0;1;0;0
Missgeburt;;"[1] someone with congenital disorder [2] an ugly person";deu;0;0;0;0;0;1;0;0
mithangel;;"A person who participates in anal intercourse.";heb;0;0;0;0;1;0;0;0
moch;mocky;"A Jewish person (first used in the 1930s).";eng;1;0;0;0;0;0;0;0
mocho;;"a person without an arm or a leg";spa;0;0;0;0;0;1;0;0
mock;mocky;"A Jewish person (first used in the 1930s).";eng;1;0;0;0;0;0;0;0
mockey;mocky;"A Jewish person (first used in the 1930s).";eng;1;0;0;0;0;0;0;0
mockie;mocky;"A Jewish person (first used in the 1930s).";eng;1;0;0;0;0;0;0;0
mocky;;"A Jewish person (first used in the 1930s).";eng;1;0;0;0;0;0;0;0
mocro;;Moroccan;nld;1;0;0;0;0;0;0;0
modaya;;"An idiot";tam;0;0;0;0;0;0;0;0
moelander;;"Immigrant, primarily labour migrant, from central and eastern Europe.";nld;0;0;0;0;0;0;0;0
mof;;"In Dutch the most common term for the German people, after the regular/official one, is 'mof'. It is regarded as a derogative term, used exclusively for Germans and reflected Dutch resentment of the German occupation of the Netherlands during the Second World War and the respective German actions. The word 'Mofrika' (Germany) is a portmanteau of Africa and 'mof'. In the late 16th century the area now known as East Frisia and Emsland and the people that lived there were referred to as 'Muffe'. At the time that the Netherlands were by far the richest country in the whole of Europe, and these people were looked down upon greatly by the Dutch. The area of Western Lower Saxony was at that time very poor and a good source for many Dutch people looking for cheap labour. The inhabitants of this region were known to be rather reserved and were often described as 'grumpy', 'rude' and 'unsophisticated' by the Dutch. Later the term was used to describe the whole of Germany, which, at the time, wasn't much better off economically than Western Lower Saxony, mainly due to the various wars waged on its territory by foreign powers. The term seemed to have died out around 1900 but returned following the German invasion of the Netherlands in 1940. A popular humorous (but false) etymology of the word 'mof' by the Dutch is that it is actually a German abbreviation meaning 'Menschen ohne Freunde' ('people without friends').";nld;0;1;0;0;0;0;0;0
moffen;mof;"In Dutch the most common term for the German people, after the regular/official one, is 'mof'. It is regarded as a derogative term, used exclusively for Germans and reflected Dutch resentment of the German occupation of the Netherlands during the Second World War and the respective German actions. The word 'Mofrika' (Germany) is a portmanteau of Africa and 'mof'. In the late 16th century the area now known as East Frisia and Emsland and the people that lived there were referred to as 'Muffe'. At the time that the Netherlands were by far the richest country in the whole of Europe, and these people were looked down upon greatly by the Dutch. The area of Western Lower Saxony was at that time very poor and a good source for many Dutch people looking for cheap labour. The inhabitants of this region were known to be rather reserved and were often described as 'grumpy', 'rude' and 'unsophisticated' by the Dutch. Later the term was used to describe the whole of Germany, which, at the time, wasn't much better off economically than Western Lower Saxony, mainly due to the various wars waged on its territory by foreign powers. The term seemed to have died out around 1900 but returned following the German invasion of the Netherlands in 1940. A popular humorous (but false) etymology of the word 'mof' by the Dutch is that it is actually a German abbreviation meaning 'Menschen ohne Freunde' ('people without friends').";nld;0;1;0;0;0;0;0;0
mogolico;mongolo;"Derogatory term for a mentally disabled person";spa;0;0;0;0;0;1;0;0
moher;;"older person who support the views expressed by Polish conservative Catholic movement with its main representative being the media strictly connected with Father Tadeusz Rydzyk. This expression originated from the characteristic headgear worn by the stereotyped representatives of this circle.";pol;0;0;1;0;0;0;1;0
mojado;;"Used by Mexicans to refer to other Mexicans, in contrast to Mexican-Americans.";spa;1;1;0;0;0;0;0;0
mojo;mojado;"Used by Mexicans to refer to other Mexicans, in contrast to Mexican-Americans.";spa;1;1;0;0;0;0;0;0
moke;;"[1] In Hawaii, an uneducated, lower class and/or ethnic Polynesian person. [2] In Ireland, a disreputable or lower class person.";eng;1;0;0;0;0;0;1;0
moky;mocky;"A Jewish person (first used in the 1930s).";eng;1;0;0;0;0;0;0;0
mollo;;"A word used in Mexico to denote a person of dark brown or black hair and of browner skin tones and/or Amerindian or Afro-Mexican origin";spa;1;0;0;0;0;0;0;0
mong;;"A disabled person, from 'mongoloid'.";eng;0;0;0;0;0;1;0;0
mongol;;Disabled;spa;0;0;0;0;0;1;0;0
mongolo;;"Derogatory term for a mentally disabled person";spa;0;0;0;0;0;1;0;0
monkey;;"A black person.";eng;1;0;0;0;0;0;0;0
monser;;"Derogatory word for members of Turkish modern society. Mostly used to insult well educated and elegant people.";tur;0;1;1;0;0;0;1;0
mook;;"Generic term for a loser or ineffectual person, likely from 'mook jonk', a wooden dummy used in kung-fu.";eng;0;0;0;0;0;0;0;0
mooley;moolie;"Italian word for a black person, from 'melanzane' (meaning eggplant).";ita;1;0;0;0;0;0;0;0
mooliachi;moolie;"Italian word for a black person, from 'melanzane' (meaning eggplant).";ita;1;0;0;0;0;0;0;0
moolie;;"Italian word for a black person, from 'melanzane' (meaning eggplant).";ita;1;0;0;0;0;0;0;0
"moon cricket";;"A black person";eng;1;0;0;0;0;0;0;0
Moor;;"A black person, from the black Muslims which invaded Europe during the Middle Ages.";eng;1;0;0;0;0;0;0;0
moreno;;"A word used in Mexico to denote a person of dark brown or black hair and of browner skin tones and/or Amerindian or Afro-Mexican origin";spa;1;0;0;0;0;0;0;0
moro;;"An Arab";spa;1;0;1;0;0;0;0;0
"moss eater";;"Pacific Northwest term for poor or disenfrancised white people.";eng;1;0;0;0;0;0;0;0
mosshead;;"A black person.";eng;1;0;0;0;0;0;0;0
moulie;;"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.";eng;1;0;0;0;0;0;0;0
moulignon;moulie;"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.";eng;1;0;0;0;0;0;0;0
moulinyan;moulie;"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.";eng;1;0;0;0;0;0;0;0
moxy;mocky;"A Jewish person (first used in the 1930s).";eng;1;0;0;0;0;0;0;0
"mud duck";"mud person";"White supremacist term for a black person.";eng;1;0;0;0;0;0;0;0
"mud person";;"White supremacist term for a black person.";eng;1;0;0;0;0;0;0;0
"mud shark";;"A Caucasian woman who dates a black man.";eng;1;0;0;0;0;0;0;0
mudugudugu;;"Originally used by southern ethnic Ugandans (Baganda, Basoga, etc) to describe soldiers who were considered rough and believed to be mostly from the north in the period 1960-1990s. The term has generally been extended to all luo and nilotic people (most of whom come from the north and east  of Uganda) and is used in an abusive context";lug;1;1;0;0;0;0;0;0
muk;;"[1] An Alaskan. [2] An Inuit.";eng;1;0;0;0;0;0;0;0
muktuk;muk;"[1] An Alaskan. [2] An Inuit.";eng;1;0;0;0;0;0;0;0
mulato;;"Born of a Caucasian parent and a black parent.";eng;1;0;0;0;0;0;0;0
mulignan;moulie;"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.";eng;1;0;0;0;0;0;0;0
